ID,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
Seq_914,0.00,0.00,5.56,22.22,0.00,5.56,0.00,5.56,16.67,11.11,0.00,5.56,0.00,0.00,5.56,11.11,0.00,5.56,0.00,5.56
Seq_915,11.11,0.00,0.00,5.56,0.00,22.22,0.00,0.00,5.56,22.22,0.00,0.00,0.00,11.11,5.56,16.67,0.00,0.00,0.00,0.00
Seq_916,0.00,0.00,5.88,5.88,0.00,5.88,0.00,17.65,5.88,0.00,0.00,11.76,5.88,5.88,0.00,0.00,23.53,11.76,0.00,0.00
Seq_917,0.00,0.00,0.00,7.14,0.00,0.00,0.00,7.14,14.29,0.00,7.14,21.43,0.00,7.14,0.00,7.14,14.29,14.29,0.00,0.00
Seq_918,20.00,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,6.67,13.33,20.00,0.00,13.33
Seq_919,10.00,0.00,15.00,5.00,5.00,15.00,0.00,0.00,0.00,10.00,5.00,0.00,5.00,0.00,0.00,0.00,10.00,5.00,0.00,15.00
Seq_920,0.00,0.00,5.00,0.00,0.00,10.00,0.00,5.00,15.00,35.00,0.00,5.00,0.00,0.00,0.00,10.00,5.00,5.00,0.00,5.00
Seq_921,0.00,6.67,0.00,13.33,0.00,13.33,0.00,0.00,0.00,6.67,0.00,0.00,13.33,20.00,13.33,0.00,0.00,0.00,6.67,6.67
Seq_922,0.00,0.00,0.00,6.67,0.00,0.00,0.00,13.33,0.00,6.67,0.00,6.67,13.33,6.67,6.67,20.00,6.67,6.67,0.00,6.67
Seq_923,11.11,0.00,0.00,11.11,5.56,33.33,0.00,0.00,11.11,0.00,0.00,0.00,22.22,5.56,0.00,0.00,0.00,0.00,0.00,0.00
Seq_924,13.33,0.00,6.67,0.00,0.00,0.00,6.67,13.33,13.33,6.67,0.00,6.67,6.67,0.00,20.00,0.00,6.67,0.00,0.00,0.00
Seq_925,6.67,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,20.00,20.00,13.33,6.67,0.00,6.67,13.33,6.67,0.00,0.00,0.00
Seq_926,13.33,13.33,6.67,6.67,0.00,6.67,0.00,6.67,0.00,0.00,6.67,0.00,6.67,0.00,13.33,20.00,0.00,0.00,0.00,0.00
Seq_927,13.33,0.00,6.67,0.00,6.67,13.33,0.00,0.00,0.00,20.00,0.00,6.67,6.67,6.67,0.00,13.33,0.00,0.00,0.00,6.67
Seq_928,23.53,0.00,5.88,0.00,5.88,5.88,0.00,5.88,5.88,5.88,0.00,5.88,5.88,11.76,0.00,0.00,5.88,5.88,5.88,0.00
Seq_929,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.71,35.71,7.14,7.14,0.00,0.00,0.00,7.14
Seq_930,20.00,0.00,0.00,13.33,0.00,0.00,0.00,6.67,6.67,0.00,0.00,6.67,13.33,0.00,6.67,6.67,13.33,6.67,0.00,0.00
Seq_931,6.67,0.00,6.67,0.00,0.00,6.67,0.00,0.00,13.33,6.67,6.67,0.00,0.00,6.67,20.00,13.33,6.67,0.00,6.67,0.00
Seq_932,13.33,0.00,0.00,0.00,6.67,6.67,13.33,0.00,0.00,6.67,0.00,0.00,13.33,13.33,0.00,6.67,6.67,13.33,0.00,0.00
Seq_933,0.00,6.67,0.00,6.67,6.67,6.67,0.00,0.00,6.67,0.00,6.67,0.00,6.67,0.00,6.67,6.67,20.00,20.00,0.00,0.00
Seq_934,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.71,35.71,7.14,7.14,0.00,0.00,0.00,7.14
Seq_935,0.00,0.00,13.33,0.00,6.67,0.00,0.00,13.33,0.00,20.00,0.00,6.67,13.33,0.00,6.67,6.67,6.67,0.00,0.00,6.67
Seq_936,6.67,0.00,0.00,0.00,26.67,6.67,0.00,13.33,13.33,13.33,0.00,6.67,0.00,0.00,0.00,0.00,13.33,0.00,0.00,0.00
Seq_937,5.56,0.00,16.67,0.00,5.56,0.00,0.00,11.11,5.56,5.56,0.00,0.00,5.56,0.00,0.00,16.67,5.56,11.11,0.00,11.11
Seq_938,13.33,0.00,6.67,0.00,6.67,26.67,0.00,6.67,0.00,6.67,0.00,0.00,6.67,0.00,6.67,0.00,0.00,0.00,6.67,13.33
Seq_939,0.00,0.00,0.00,0.00,10.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,10.00,0.00,30.00,10.00,0.00,0.00,20.00
Seq_940,10.00,0.00,0.00,10.00,5.00,30.00,0.00,5.00,10.00,5.00,0.00,0.00,10.00,10.00,0.00,0.00,5.00,0.00,0.00,0.00
Seq_941,5.88,0.00,0.00,17.65,5.88,5.88,0.00,5.88,5.88,11.76,0.00,5.88,5.88,5.88,11.76,0.00,0.00,5.88,0.00,5.88
Seq_942,13.33,0.00,0.00,20.00,6.67,0.00,6.67,0.00,6.67,6.67,0.00,0.00,6.67,6.67,0.00,6.67,6.67,13.33,0.00,0.00
Seq_943,6.67,0.00,6.67,13.33,6.67,6.67,0.00,13.33,40.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Seq_944,13.33,0.00,6.67,0.00,0.00,13.33,0.00,0.00,0.00,0.00,0.00,0.00,13.33,0.00,0.00,26.67,26.67,0.00,0.00,0.00
Seq_945,13.33,0.00,13.33,6.67,0.00,6.67,0.00,6.67,6.67,6.67,6.67,0.00,6.67,0.00,0.00,6.67,6.67,6.67,6.67,0.00
Seq_946,0.00,0.00,0.00,0.00,7.14,21.43,0.00,7.14,14.29,7.14,7.14,0.00,7.14,0.00,0.00,14.29,7.14,0.00,0.00,7.14
Seq_947,10.00,0.00,5.00,0.00,0.00,5.00,0.00,5.00,10.00,0.00,0.00,15.00,5.00,10.00,0.00,5.00,10.00,10.00,0.00,10.00
Seq_948,0.00,0.00,0.00,13.33,6.67,6.67,0.00,13.33,6.67,6.67,6.67,13.33,0.00,0.00,6.67,0.00,0.00,6.67,0.00,13.33
Seq_949,21.43,0.00,7.14,14.29,14.29,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,14.29,7.14,7.14,0.00,0.00
Seq_950,6.67,0.00,0.00,6.67,6.67,0.00,6.67,0.00,26.67,13.33,6.67,6.67,0.00,6.67,0.00,6.67,6.67,0.00,0.00,0.00
Seq_951,8.33,0.00,25.00,8.33,0.00,16.67,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00
Seq_952,0.00,0.00,0.00,16.67,8.33,16.67,0.00,8.33,0.00,8.33,8.33,0.00,0.00,0.00,8.33,0.00,16.67,8.33,0.00,0.00
Seq_953,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,5.00,10.00,0.00,0.00,5.00,0.00,25.00,0.00,10.00,5.00,5.00,0.00
Seq_954,5.26,0.00,0.00,10.53,5.26,10.53,0.00,5.26,5.26,10.53,5.26,21.05,0.00,5.26,0.00,5.26,0.00,10.53,0.00,0.00
Seq_955,30.00,0.00,10.00,0.00,0.00,20.00,0.00,10.00,0.00,10.00,0.00,0.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00
Seq_956,10.00,0.00,0.00,5.00,0.00,10.00,5.00,5.00,0.00,5.00,5.00,0.00,5.00,0.00,5.00,20.00,10.00,10.00,5.00,0.00
Seq_957,15.79,0.00,5.26,5.26,5.26,0.00,10.53,5.26,5.26,5.26,0.00,0.00,5.26,15.79,0.00,15.79,0.00,5.26,0.00,0.00
Seq_958,25.00,0.00,0.00,5.00,5.00,5.00,5.00,0.00,0.00,5.00,0.00,0.00,5.00,0.00,25.00,10.00,5.00,5.00,0.00,0.00
Seq_959,6.67,0.00,6.67,20.00,0.00,6.67,6.67,6.67,6.67,0.00,0.00,6.67,6.67,0.00,6.67,0.00,13.33,6.67,0.00,0.00
Seq_960,20.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,20.00,10.00,0.00
Seq_961,11.11,0.00,0.00,5.56,0.00,16.67,0.00,5.56,5.56,22.22,0.00,0.00,5.56,11.11,5.56,11.11,0.00,0.00,0.00,0.00
Seq_962,13.33,0.00,13.33,6.67,0.00,0.00,0.00,13.33,6.67,6.67,0.00,0.00,13.33,6.67,0.00,20.00,0.00,0.00,0.00,0.00
Seq_963,6.67,0.00,0.00,6.67,13.33,13.33,6.67,0.00,6.67,6.67,0.00,0.00,0.00,0.00,20.00,6.67,0.00,13.33,0.00,0.00
Seq_964,0.00,0.00,0.00,20.00,0.00,0.00,20.00,13.33,0.00,20.00,0.00,0.00,0.00,0.00,13.33,0.00,0.00,13.33,0.00,0.00
Seq_965,11.11,0.00,0.00,5.56,0.00,22.22,0.00,0.00,5.56,22.22,0.00,0.00,0.00,11.11,5.56,11.11,0.00,5.56,0.00,0.00
Seq_966,21.43,0.00,7.14,0.00,0.00,7.14,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,7.14,21.43,21.43,0.00,7.14
Seq_967,10.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,20.00,0.00,10.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00
Seq_968,5.56,0.00,0.00,22.22,0.00,22.22,0.00,5.56,0.00,16.67,0.00,0.00,11.11,0.00,5.56,0.00,5.56,0.00,5.56,0.00
Seq_969,26.67,0.00,0.00,6.67,6.67,6.67,0.00,0.00,13.33,0.00,6.67,0.00,0.00,0.00,13.33,0.00,6.67,13.33,0.00,0.00
Seq_970,0.00,0.00,5.00,5.00,5.00,5.00,0.00,0.00,5.00,0.00,0.00,10.00,5.00,15.00,0.00,10.00,10.00,0.00,10.00,15.00
Seq_971,33.33,0.00,0.00,13.33,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,6.67,0.00,6.67,6.67,0.00,13.33,6.67,0.00
Seq_972,10.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,20.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,20.00,0.00,10.00
Seq_973,5.88,0.00,5.88,5.88,11.76,0.00,0.00,5.88,0.00,23.53,0.00,5.88,0.00,0.00,11.76,5.88,11.76,5.88,0.00,0.00
Seq_974,6.25,0.00,12.50,6.25,0.00,12.50,6.25,6.25,6.25,12.50,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,6.25
Seq_975,16.67,0.00,8.33,8.33,8.33,0.00,0.00,16.67,8.33,16.67,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,8.33
Seq_976,7.69,7.69,7.69,0.00,0.00,7.69,7.69,0.00,15.38,0.00,0.00,0.00,0.00,0.00,15.38,0.00,7.69,7.69,7.69,7.69
Seq_977,7.69,7.69,0.00,7.69,0.00,0.00,0.00,15.38,7.69,0.00,0.00,15.38,15.38,7.69,7.69,0.00,0.00,0.00,0.00,7.69
Seq_978,6.67,0.00,13.33,6.67,13.33,0.00,0.00,13.33,6.67,0.00,0.00,6.67,0.00,6.67,6.67,0.00,0.00,0.00,6.67,13.33
Seq_979,6.67,0.00,6.67,0.00,6.67,13.33,0.00,6.67,0.00,6.67,0.00,0.00,0.00,13.33,13.33,13.33,0.00,13.33,0.00,0.00
Seq_980,16.67,0.00,8.33,8.33,0.00,8.33,0.00,0.00,0.00,25.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,16.67,0.00,8.33
Seq_981,11.11,0.00,0.00,16.67,0.00,22.22,0.00,5.56,0.00,16.67,0.00,0.00,11.11,0.00,5.56,0.00,5.56,0.00,5.56,0.00
Seq_982,6.67,0.00,6.67,13.33,0.00,6.67,0.00,0.00,26.67,6.67,6.67,0.00,0.00,0.00,0.00,6.67,0.00,20.00,0.00,0.00
Seq_983,13.33,0.00,0.00,0.00,20.00,6.67,6.67,0.00,0.00,13.33,0.00,6.67,0.00,6.67,6.67,0.00,13.33,0.00,0.00,6.67
Seq_984,11.76,0.00,0.00,11.76,0.00,0.00,5.88,5.88,0.00,11.76,5.88,11.76,0.00,5.88,0.00,5.88,5.88,5.88,5.88,5.88
Seq_985,36.36,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,9.09,18.18,0.00,9.09
Seq_986,6.67,0.00,0.00,13.33,6.67,0.00,6.67,6.67,6.67,6.67,6.67,6.67,13.33,0.00,6.67,0.00,0.00,6.67,0.00,6.67
Seq_987,5.00,0.00,5.00,0.00,5.00,0.00,5.00,15.00,15.00,10.00,0.00,0.00,10.00,0.00,15.00,0.00,5.00,0.00,5.00,5.00
Seq_988,7.69,7.69,7.69,0.00,0.00,7.69,0.00,7.69,15.38,0.00,0.00,0.00,0.00,0.00,15.38,0.00,7.69,7.69,7.69,7.69
Seq_989,13.33,0.00,0.00,0.00,0.00,13.33,0.00,0.00,0.00,20.00,0.00,0.00,6.67,0.00,13.33,13.33,0.00,13.33,0.00,6.67
Seq_990,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,26.67,13.33,0.00,0.00,6.67,0.00,6.67,6.67,6.67,20.00,0.00,0.00
Seq_991,0.00,6.25,12.50,0.00,6.25,18.75,0.00,12.50,0.00,6.25,0.00,6.25,0.00,6.25,0.00,6.25,0.00,6.25,0.00,12.50
Seq_992,15.00,0.00,5.00,5.00,5.00,15.00,0.00,0.00,5.00,5.00,0.00,15.00,0.00,10.00,5.00,5.00,10.00,0.00,0.00,0.00
Seq_993,0.00,0.00,11.76,17.65,5.88,11.76,0.00,11.76,5.88,11.76,5.88,5.88,0.00,0.00,5.88,0.00,5.88,0.00,0.00,0.00
Seq_994,11.11,0.00,0.00,5.56,0.00,22.22,0.00,0.00,5.56,22.22,0.00,0.00,11.11,5.56,5.56,11.11,0.00,0.00,0.00,0.00
Seq_995,25.00,0.00,10.00,0.00,5.00,15.00,5.00,0.00,0.00,0.00,0.00,20.00,0.00,5.00,0.00,0.00,0.00,5.00,5.00,5.00
Seq_996,6.67,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,6.67,6.67,13.33,13.33,0.00,0.00,26.67,6.67,0.00,0.00,6.67
Seq_997,7.14,0.00,21.43,14.29,0.00,0.00,0.00,7.14,7.14,0.00,7.14,0.00,0.00,7.14,0.00,14.29,0.00,0.00,0.00,14.29
Seq_998,6.67,0.00,6.67,0.00,0.00,6.67,0.00,13.33,13.33,6.67,0.00,6.67,6.67,6.67,13.33,0.00,6.67,6.67,0.00,0.00
Seq_999,33.33,0.00,13.33,0.00,0.00,20.00,0.00,0.00,0.00,13.33,0.00,6.67,6.67,0.00,0.00,6.67,0.00,0.00,0.00,0.00
Seq_1000,0.00,5.00,0.00,5.00,0.00,0.00,0.00,5.00,15.00,10.00,0.00,5.00,5.00,5.00,0.00,20.00,10.00,5.00,5.00,5.00
Seq_1001,23.08,0.00,0.00,15.38,7.69,7.69,0.00,0.00,0.00,15.38,7.69,0.00,0.00,0.00,7.69,7.69,7.69,0.00,0.00,0.00
Seq_1002,6.67,0.00,6.67,0.00,13.33,6.67,0.00,6.67,6.67,0.00,6.67,13.33,6.67,0.00,6.67,6.67,0.00,13.33,0.00,0.00
Seq_1003,6.67,0.00,0.00,0.00,13.33,26.67,6.67,6.67,0.00,6.67,0.00,6.67,0.00,0.00,0.00,6.67,6.67,13.33,0.00,0.00
Seq_1004,6.67,0.00,0.00,6.67,0.00,13.33,6.67,6.67,0.00,0.00,0.00,6.67,0.00,13.33,0.00,13.33,13.33,6.67,0.00,6.67
Seq_1005,0.00,0.00,10.00,0.00,0.00,20.00,0.00,20.00,10.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00
Seq_1006,26.67,6.67,0.00,6.67,0.00,13.33,6.67,0.00,0.00,13.33,0.00,0.00,6.67,6.67,0.00,6.67,6.67,0.00,0.00,0.00
Seq_1007,22.22,0.00,5.56,16.67,5.56,0.00,0.00,0.00,5.56,5.56,11.11,0.00,0.00,0.00,5.56,16.67,5.56,0.00,0.00,0.00
Seq_1008,7.69,0.00,0.00,7.69,15.38,0.00,0.00,7.69,0.00,0.00,7.69,0.00,23.08,7.69,0.00,7.69,0.00,15.38,0.00,0.00
Seq_1009,13.33,0.00,6.67,6.67,0.00,6.67,6.67,0.00,6.67,13.33,0.00,13.33,6.67,6.67,0.00,0.00,0.00,0.00,13.33,0.00
Seq_1010,0.00,5.56,0.00,5.56,0.00,5.56,0.00,16.67,5.56,11.11,16.67,5.56,5.56,0.00,5.56,0.00,5.56,11.11,0.00,0.00
Seq_1011,5.56,0.00,0.00,5.56,0.00,22.22,0.00,0.00,5.56,22.22,0.00,0.00,5.56,11.11,5.56,11.11,0.00,0.00,5.56,0.00
Seq_1012,0.00,0.00,0.00,6.67,6.67,20.00,0.00,13.33,0.00,6.67,0.00,20.00,13.33,0.00,0.00,0.00,13.33,0.00,0.00,0.00
Seq_1013,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,10.00,0.00,10.00,10.00,0.00,10.00,10.00,10.00
Seq_1014,15.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,5.00,5.00,5.00,10.00,5.00,0.00,0.00,15.00,5.00,10.00,0.00,0.00
Seq_1015,26.32,0.00,5.26,5.26,0.00,0.00,0.00,5.26,0.00,10.53,0.00,0.00,5.26,0.00,5.26,5.26,26.32,5.26,0.00,0.00
Seq_1016,40.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,10.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,10.00,0.00,0.00
Seq_1017,0.00,22.22,0.00,0.00,0.00,11.11,0.00,11.11,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,11.11,22.22,11.11,0.00
Seq_1018,26.67,0.00,13.33,6.67,0.00,6.67,0.00,0.00,0.00,6.67,0.00,0.00,13.33,13.33,0.00,0.00,0.00,0.00,0.00,13.33
Seq_1019,17.65,0.00,5.88,5.88,5.88,0.00,0.00,0.00,5.88,11.76,5.88,11.76,5.88,5.88,0.00,5.88,5.88,0.00,5.88,0.00
Seq_1020,6.67,6.67,13.33,0.00,6.67,6.67,6.67,0.00,0.00,0.00,0.00,6.67,6.67,6.67,0.00,13.33,6.67,6.67,0.00,6.67
Seq_1021,20.00,0.00,0.00,6.67,6.67,13.33,0.00,6.67,0.00,20.00,0.00,0.00,0.00,0.00,6.67,13.33,6.67,0.00,0.00,0.00
Seq_1022,5.00,0.00,15.00,5.00,0.00,5.00,0.00,15.00,5.00,5.00,0.00,5.00,5.00,0.00,10.00,5.00,5.00,15.00,0.00,0.00
Seq_1023,0.00,0.00,0.00,20.00,0.00,6.67,6.67,0.00,0.00,20.00,0.00,0.00,0.00,13.33,20.00,0.00,6.67,6.67,0.00,0.00
Seq_1024,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.67,53.33,6.67,6.67,0.00,0.00,0.00,0.00
Seq_1025,20.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,6.67,0.00,0.00,20.00,20.00,0.00,6.67,13.33,0.00,0.00,0.00,0.00
Seq_1026,12.50,0.00,12.50,6.25,6.25,12.50,6.25,6.25,6.25,12.50,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,12.50
Seq_1027,25.00,0.00,10.00,0.00,5.00,5.00,5.00,5.00,0.00,10.00,0.00,0.00,0.00,5.00,5.00,15.00,0.00,10.00,0.00,0.00
Seq_1028,35.00,0.00,0.00,0.00,5.00,15.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,15.00,5.00,5.00,0.00,10.00,0.00,0.00
Seq_1029,11.11,0.00,0.00,22.22,0.00,22.22,0.00,5.56,0.00,16.67,0.00,0.00,11.11,0.00,5.56,0.00,0.00,0.00,5.56,0.00
Seq_1030,33.33,0.00,0.00,13.33,6.67,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,13.33,6.67,6.67,0.00,0.00,0.00
Seq_1031,6.67,0.00,13.33,20.00,6.67,0.00,0.00,6.67,0.00,6.67,0.00,0.00,6.67,6.67,6.67,0.00,0.00,13.33,0.00,6.67
Seq_1032,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,20.00,10.00,0.00,0.00,0.00,10.00,10.00,10.00,0.00,10.00,10.00
Seq_1033,15.00,0.00,5.00,10.00,0.00,5.00,5.00,5.00,0.00,10.00,5.00,0.00,0.00,0.00,5.00,10.00,15.00,5.00,5.00,0.00
Seq_1034,0.00,0.00,0.00,5.00,5.00,10.00,0.00,0.00,0.00,10.00,5.00,0.00,20.00,5.00,10.00,15.00,0.00,10.00,0.00,5.00
Seq_1035,0.00,0.00,0.00,13.33,0.00,13.33,0.00,13.33,6.67,13.33,0.00,0.00,0.00,0.00,6.67,6.67,6.67,13.33,0.00,6.67
Seq_1036,5.00,5.00,5.00,0.00,5.00,0.00,0.00,15.00,20.00,0.00,5.00,0.00,10.00,5.00,5.00,10.00,0.00,0.00,5.00,5.00
Seq_1037,0.00,6.67,6.67,6.67,0.00,13.33,0.00,6.67,0.00,20.00,6.67,0.00,0.00,0.00,6.67,6.67,6.67,6.67,0.00,6.67
Seq_1038,7.69,0.00,0.00,7.69,0.00,7.69,0.00,7.69,0.00,7.69,0.00,7.69,7.69,7.69,15.38,7.69,7.69,7.69,0.00,0.00
Seq_1039,6.67,0.00,6.67,6.67,0.00,6.67,0.00,0.00,6.67,13.33,0.00,26.67,0.00,6.67,6.67,0.00,6.67,6.67,0.00,0.00
Seq_1040,6.67,6.67,0.00,6.67,0.00,26.67,0.00,0.00,0.00,20.00,0.00,6.67,0.00,0.00,0.00,6.67,0.00,0.00,13.33,6.67
Seq_1041,0.00,11.11,0.00,5.56,0.00,11.11,0.00,11.11,5.56,0.00,0.00,5.56,5.56,5.56,5.56,11.11,5.56,11.11,5.56,0.00
Seq_1042,13.33,0.00,0.00,6.67,0.00,13.33,0.00,0.00,26.67,0.00,0.00,0.00,6.67,0.00,13.33,6.67,0.00,13.33,0.00,0.00
Seq_1043,18.18,0.00,0.00,18.18,9.09,0.00,9.09,9.09,0.00,9.09,0.00,0.00,9.09,9.09,0.00,0.00,0.00,9.09,0.00,0.00
Seq_1044,0.00,0.00,9.09,0.00,9.09,0.00,9.09,18.18,0.00,9.09,9.09,18.18,0.00,0.00,9.09,0.00,0.00,0.00,0.00,9.09
Seq_1045,6.67,6.67,6.67,13.33,0.00,13.33,6.67,0.00,6.67,6.67,0.00,0.00,0.00,6.67,6.67,0.00,13.33,6.67,0.00,0.00
Seq_1046,20.00,0.00,6.67,6.67,6.67,0.00,6.67,0.00,13.33,6.67,0.00,0.00,0.00,6.67,6.67,0.00,6.67,13.33,0.00,0.00
Seq_1047,6.67,0.00,0.00,6.67,0.00,6.67,0.00,0.00,0.00,26.67,0.00,6.67,6.67,6.67,6.67,0.00,6.67,13.33,0.00,6.67
Seq_1048,7.14,0.00,7.14,14.29,0.00,14.29,0.00,0.00,14.29,0.00,0.00,0.00,7.14,0.00,7.14,0.00,7.14,7.14,7.14,7.14
Seq_1049,13.33,0.00,0.00,13.33,0.00,6.67,0.00,26.67,0.00,0.00,0.00,13.33,6.67,0.00,0.00,0.00,6.67,6.67,0.00,6.67
Seq_1050,10.00,0.00,5.00,0.00,5.00,15.00,5.00,5.00,0.00,5.00,0.00,0.00,5.00,10.00,10.00,0.00,10.00,10.00,5.00,0.00
Seq_1051,0.00,11.76,5.88,0.00,0.00,5.88,5.88,0.00,5.88,0.00,0.00,0.00,11.76,0.00,5.88,0.00,11.76,5.88,11.76,17.65
Seq_1052,5.88,0.00,5.88,0.00,0.00,17.65,5.88,0.00,5.88,11.76,5.88,11.76,0.00,0.00,11.76,5.88,0.00,0.00,0.00,11.76
Seq_1053,6.67,0.00,0.00,26.67,6.67,0.00,6.67,0.00,6.67,6.67,6.67,0.00,6.67,6.67,0.00,6.67,13.33,0.00,0.00,0.00
Seq_1054,13.33,0.00,0.00,6.67,0.00,13.33,13.33,6.67,6.67,6.67,0.00,0.00,6.67,0.00,0.00,0.00,6.67,13.33,0.00,6.67
Seq_1055,13.33,0.00,0.00,0.00,0.00,13.33,0.00,0.00,0.00,13.33,0.00,0.00,13.33,0.00,13.33,13.33,0.00,13.33,0.00,6.67
Seq_1056,0.00,0.00,0.00,6.67,0.00,6.67,0.00,13.33,0.00,13.33,0.00,13.33,6.67,6.67,13.33,6.67,6.67,6.67,0.00,0.00
Seq_1057,11.11,0.00,5.56,0.00,5.56,16.67,5.56,5.56,0.00,5.56,0.00,0.00,0.00,11.11,5.56,0.00,11.11,11.11,5.56,0.00
Seq_1058,30.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,10.00,20.00,10.00,0.00,0.00
Seq_1059,7.69,0.00,0.00,7.69,15.38,0.00,15.38,7.69,7.69,7.69,0.00,0.00,0.00,0.00,0.00,23.08,7.69,0.00,0.00,0.00
Seq_1060,20.00,0.00,6.67,0.00,6.67,13.33,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,6.67,20.00,13.33,0.00,6.67
Seq_1061,5.56,0.00,0.00,0.00,0.00,5.56,0.00,11.11,5.56,11.11,5.56,5.56,5.56,0.00,16.67,11.11,5.56,11.11,0.00,0.00
Seq_1062,0.00,0.00,0.00,13.33,0.00,13.33,0.00,13.33,6.67,6.67,0.00,0.00,0.00,0.00,13.33,6.67,6.67,13.33,0.00,6.67
Seq_1063,10.00,0.00,10.00,10.00,0.00,0.00,0.00,5.00,5.00,5.00,0.00,5.00,15.00,0.00,10.00,5.00,10.00,10.00,0.00,0.00
Seq_1064,0.00,6.67,0.00,6.67,0.00,13.33,0.00,0.00,20.00,20.00,13.33,0.00,0.00,0.00,0.00,0.00,13.33,0.00,0.00,6.67
Seq_1065,13.33,0.00,6.67,0.00,0.00,0.00,0.00,20.00,0.00,13.33,13.33,6.67,0.00,0.00,0.00,20.00,0.00,6.67,0.00,0.00
Seq_1066,6.67,0.00,6.67,13.33,0.00,0.00,6.67,0.00,6.67,13.33,0.00,0.00,6.67,6.67,0.00,0.00,13.33,13.33,6.67,0.00
Seq_1067,7.69,7.69,7.69,0.00,0.00,7.69,7.69,7.69,15.38,0.00,0.00,0.00,0.00,0.00,15.38,0.00,0.00,7.69,7.69,7.69
Seq_1068,0.00,6.67,6.67,20.00,0.00,13.33,0.00,0.00,6.67,13.33,0.00,0.00,0.00,0.00,0.00,0.00,13.33,13.33,0.00,6.67
Seq_1069,0.00,0.00,13.33,0.00,6.67,20.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,6.67,13.33,13.33,6.67,6.67,0.00
Seq_1070,0.00,0.00,5.00,5.00,0.00,0.00,0.00,5.00,0.00,15.00,5.00,5.00,10.00,0.00,10.00,5.00,5.00,20.00,10.00,0.00
Seq_1071,6.67,0.00,0.00,6.67,13.33,0.00,13.33,6.67,0.00,13.33,0.00,0.00,6.67,0.00,6.67,20.00,6.67,0.00,0.00,0.00
Seq_1072,25.00,0.00,6.25,0.00,0.00,6.25,0.00,6.25,0.00,0.00,6.25,0.00,6.25,6.25,6.25,0.00,0.00,12.50,0.00,18.75
Seq_1073,5.56,0.00,5.56,5.56,5.56,0.00,0.00,0.00,0.00,0.00,5.56,5.56,16.67,0.00,5.56,16.67,16.67,11.11,0.00,0.00
